Date Kog.,Sample Year,Cumulative CPUE,Species,SpeciesRun,Run,Project
07/16,2021,0,Coho,Coho,Single Run,Lower Yukon Test Fishing
07/17,2021,0,Coho,Coho,Single Run,Lower Yukon Test Fishing
07/18,2021,0,Coho,Coho,Single Run,Lower Yukon Test Fishing
07/19,2021,0,Coho,Coho,Single Run,Lower Yukon Test Fishing
07/20,2021,0,Coho,Coho,Single Run,Lower Yukon Test Fishing
07/21,2021,0,Coho,Coho,Single Run,Lower Yukon Test Fishing
07/22,2021,0,Coho,Coho,Single Run,Lower Yukon Test Fishing
07/23,2021,0,Coho,Coho,Single Run,Lower Yukon Test Fishing
07/24,2021,0,Coho,Coho,Single Run,Lower Yukon Test Fishing
07/25,2021,0,Coho,Coho,Single Run,Lower Yukon Test Fishing
07/26,2021,0,Coho,Coho,Single Run,Lower Yukon Test Fishing
07/27,2021,0,Coho,Coho,Single Run,Lower Yukon Test Fishing
07/28,2021,0,Coho,Coho,Single Run,Lower Yukon Test Fishing
07/29,2021,0,Coho,Coho,Single Run,Lower Yukon Test Fishing
07/30,2021,0,Coho,Coho,Single Run,Lower Yukon Test Fishing
07/31,2021,0,Coho,Coho,Single Run,Lower Yukon Test Fishing
08/01,2021,0,Coho,Coho,Single Run,Lower Yukon Test Fishing
08/02,2021,0,Coho,Coho,Single Run,Lower Yukon Test Fishing
08/03,2021,0,Coho,Coho,Single Run,Lower Yukon Test Fishing
08/04,2021,0,Coho,Coho,Single Run,Lower Yukon Test Fishing
08/05,2021,0,Coho,Coho,Single Run,Lower Yukon Test Fishing
08/06,2021,0,Coho,Coho,Single Run,Lower Yukon Test Fishing
08/07,2021,0,Coho,Coho,Single Run,Lower Yukon Test Fishing
08/08,2021,0,Coho,Coho,Single Run,Lower Yukon Test Fishing
08/09,2021,0,Coho,Coho,Single Run,Lower Yukon Test Fishing
08/10,2021,1.548,Coho,Coho,Single Run,Lower Yukon Test Fishing
08/11,2021,1.548,Coho,Coho,Single Run,Lower Yukon Test Fishing
08/12,2021,1.548,Coho,Coho,Single Run,Lower Yukon Test Fishing
08/13,2021,1.548,Coho,Coho,Single Run,Lower Yukon Test Fishing
08/14,2021,1.548,Coho,Coho,Single Run,Lower Yukon Test Fishing
08/15,2021,1.548,Coho,Coho,Single Run,Lower Yukon Test Fishing
08/16,2021,1.548,Coho,Coho,Single Run,Lower Yukon Test Fishing
08/17,2021,1.548,Coho,Coho,Single Run,Lower Yukon Test Fishing
08/18,2021,1.548,Coho,Coho,Single Run,Lower Yukon Test Fishing
08/19,2021,1.548,Coho,Coho,Single Run,Lower Yukon Test Fishing
08/20,2021,3.137,Coho,Coho,Single Run,Lower Yukon Test Fishing
08/21,2021,6.214,Coho,Coho,Single Run,Lower Yukon Test Fishing
08/22,2021,8.567,Coho,Coho,Single Run,Lower Yukon Test Fishing
08/23,2021,10.141,Coho,Coho,Single Run,Lower Yukon Test Fishing
08/24,2021,10.141,Coho,Coho,Single Run,Lower Yukon Test Fishing
08/25,2021,10.141,Coho,Coho,Single Run,Lower Yukon Test Fishing
08/26,2021,10.141,Coho,Coho,Single Run,Lower Yukon Test Fishing
08/27,2021,10.141,Coho,Coho,Single Run,Lower Yukon Test Fishing
08/28,2021,10.141,Coho,Coho,Single Run,Lower Yukon Test Fishing
08/29,2021,10.141,Coho,Coho,Single Run,Lower Yukon Test Fishing
08/30,2021,10.141,Coho,Coho,Single Run,Lower Yukon Test Fishing
08/31,2021,10.141,Coho,Coho,Single Run,Lower Yukon Test Fishing
09/01,2021,10.141,Coho,Coho,Single Run,Lower Yukon Test Fishing
09/02,2021,10.93,Coho,Coho,Single Run,Lower Yukon Test Fishing
09/03,2021,11.983,Coho,Coho,Single Run,Lower Yukon Test Fishing
09/04,2021,14.088,Coho,Coho,Single Run,Lower Yukon Test Fishing
09/05,2021,14.088,Coho,Coho,Single Run,Lower Yukon Test Fishing
09/06,2021,14.088,Coho,Coho,Single Run,Lower Yukon Test Fishing
09/07,2021,14.088,Coho,Coho,Single Run,Lower Yukon Test Fishing
09/08,2021,14.088,Coho,Coho,Single Run,Lower Yukon Test Fishing
09/09,2021,14.088,Coho,Coho,Single Run,Lower Yukon Test Fishing
09/10,2021,14.088,Coho,Coho,Single Run,Lower Yukon Test Fishing
07/16,2020,0,Coho,Coho,Single Run,Lower Yukon Test Fishing
07/17,2020,0,Coho,Coho,Single Run,Lower Yukon Test Fishing
07/18,2020,0,Coho,Coho,Single Run,Lower Yukon Test Fishing
07/19,2020,0,Coho,Coho,Single Run,Lower Yukon Test Fishing
07/20,2020,0,Coho,Coho,Single Run,Lower Yukon Test Fishing
07/21,2020,0,Coho,Coho,Single Run,Lower Yukon Test Fishing
07/22,2020,0,Coho,Coho,Single Run,Lower Yukon Test Fishing
07/23,2020,0,Coho,Coho,Single Run,Lower Yukon Test Fishing
07/24,2020,0,Coho,Coho,Single Run,Lower Yukon Test Fishing
07/25,2020,0,Coho,Coho,Single Run,Lower Yukon Test Fishing
07/26,2020,0,Coho,Coho,Single Run,Lower Yukon Test Fishing
07/27,2020,0,Coho,Coho,Single Run,Lower Yukon Test Fishing
07/28,2020,0,Coho,Coho,Single Run,Lower Yukon Test Fishing
07/29,2020,0,Coho,Coho,Single Run,Lower Yukon Test Fishing
07/30,2020,0,Coho,Coho,Single Run,Lower Yukon Test Fishing
07/31,2020,0,Coho,Coho,Single Run,Lower Yukon Test Fishing
08/01,2020,0,Coho,Coho,Single Run,Lower Yukon Test Fishing
08/02,2020,0,Coho,Coho,Single Run,Lower Yukon Test Fishing
08/03,2020,0,Coho,Coho,Single Run,Lower Yukon Test Fishing
08/04,2020,2.034,Coho,Coho,Single Run,Lower Yukon Test Fishing
08/05,2020,4.434,Coho,Coho,Single Run,Lower Yukon Test Fishing
08/06,2020,4.434,Coho,Coho,Single Run,Lower Yukon Test Fishing
08/07,2020,4.434,Coho,Coho,Single Run,Lower Yukon Test Fishing
08/08,2020,17.221,Coho,Coho,Single Run,Lower Yukon Test Fishing
08/09,2020,18.247,Coho,Coho,Single Run,Lower Yukon Test Fishing
08/10,2020,19.277,Coho,Coho,Single Run,Lower Yukon Test Fishing
08/11,2020,19.277,Coho,Coho,Single Run,Lower Yukon Test Fishing
08/12,2020,19.277,Coho,Coho,Single Run,Lower Yukon Test Fishing
08/13,2020,21.346,Coho,Coho,Single Run,Lower Yukon Test Fishing
08/14,2020,23.389,Coho,Coho,Single Run,Lower Yukon Test Fishing
08/15,2020,26.453,Coho,Coho,Single Run,Lower Yukon Test Fishing
08/16,2020,39.085,Coho,Coho,Single Run,Lower Yukon Test Fishing
08/17,2020,41.11,Coho,Coho,Single Run,Lower Yukon Test Fishing
08/18,2020,41.11,Coho,Coho,Single Run,Lower Yukon Test Fishing
08/19,2020,41.11,Coho,Coho,Single Run,Lower Yukon Test Fishing
08/20,2020,45.213,Coho,Coho,Single Run,Lower Yukon Test Fishing
08/21,2020,52.392,Coho,Coho,Single Run,Lower Yukon Test Fishing
08/22,2020,53.409,Coho,Coho,Single Run,Lower Yukon Test Fishing
08/23,2020,84.756,Coho,Coho,Single Run,Lower Yukon Test Fishing
08/24,2020,95.576,Coho,Coho,Single Run,Lower Yukon Test Fishing
08/25,2020,96.602,Coho,Coho,Single Run,Lower Yukon Test Fishing
08/26,2020,99.653,Coho,Coho,Single Run,Lower Yukon Test Fishing
08/27,2020,111.313,Coho,Coho,Single Run,Lower Yukon Test Fishing
08/28,2020,129.626,Coho,Coho,Single Run,Lower Yukon Test Fishing
08/29,2020,131.66,Coho,Coho,Single Run,Lower Yukon Test Fishing
08/30,2020,136.766,Coho,Coho,Single Run,Lower Yukon Test Fishing
08/31,2020,141.74,Coho,Coho,Single Run,Lower Yukon Test Fishing
09/01,2020,144.77,Coho,Coho,Single Run,Lower Yukon Test Fishing
09/02,2020,145.8,Coho,Coho,Single Run,Lower Yukon Test Fishing
09/03,2020,146.826,Coho,Coho,Single Run,Lower Yukon Test Fishing
09/04,2020,149.877,Coho,Coho,Single Run,Lower Yukon Test Fishing
09/05,2020,150.898,Coho,Coho,Single Run,Lower Yukon Test Fishing
09/06,2020,155.426,Coho,Coho,Single Run,Lower Yukon Test Fishing
09/07,2020,157.451,Coho,Coho,Single Run,Lower Yukon Test Fishing
09/08,2020,160.548,Coho,Coho,Single Run,Lower Yukon Test Fishing
09/09,2020,161.552,Coho,Coho,Single Run,Lower Yukon Test Fishing
09/10,2020,167.759,Coho,Coho,Single Run,Lower Yukon Test Fishing
07/16,2019,0,Coho,Coho,Single Run,Lower Yukon Test Fishing
07/17,2019,0,Coho,Coho,Single Run,Lower Yukon Test Fishing
07/18,2019,0.738,Coho,Coho,Single Run,Lower Yukon Test Fishing
07/19,2019,0.738,Coho,Coho,Single Run,Lower Yukon Test Fishing
07/20,2019,0.738,Coho,Coho,Single Run,Lower Yukon Test Fishing
07/21,2019,0.738,Coho,Coho,Single Run,Lower Yukon Test Fishing
07/22,2019,0.738,Coho,Coho,Single Run,Lower Yukon Test Fishing
07/23,2019,0.738,Coho,Coho,Single Run,Lower Yukon Test Fishing
07/24,2019,0.738,Coho,Coho,Single Run,Lower Yukon Test Fishing
07/25,2019,0.738,Coho,Coho,Single Run,Lower Yukon Test Fishing
07/26,2019,1.49,Coho,Coho,Single Run,Lower Yukon Test Fishing
07/27,2019,1.49,Coho,Coho,Single Run,Lower Yukon Test Fishing
07/28,2019,1.49,Coho,Coho,Single Run,Lower Yukon Test Fishing
07/29,2019,1.49,Coho,Coho,Single Run,Lower Yukon Test Fishing
07/30,2019,1.49,Coho,Coho,Single Run,Lower Yukon Test Fishing
07/31,2019,1.49,Coho,Coho,Single Run,Lower Yukon Test Fishing
08/01,2019,2.235,Coho,Coho,Single Run,Lower Yukon Test Fishing
08/02,2019,2.235,Coho,Coho,Single Run,Lower Yukon Test Fishing
08/03,2019,7.637,Coho,Coho,Single Run,Lower Yukon Test Fishing
08/04,2019,9.128,Coho,Coho,Single Run,Lower Yukon Test Fishing
08/05,2019,9.128,Coho,Coho,Single Run,Lower Yukon Test Fishing
08/06,2019,9.128,Coho,Coho,Single Run,Lower Yukon Test Fishing
08/07,2019,9.128,Coho,Coho,Single Run,Lower Yukon Test Fishing
08/08,2019,10.657,Coho,Coho,Single Run,Lower Yukon Test Fishing
08/09,2019,10.657,Coho,Coho,Single Run,Lower Yukon Test Fishing
08/10,2019,11.421,Coho,Coho,Single Run,Lower Yukon Test Fishing
08/11,2019,11.421,Coho,Coho,Single Run,Lower Yukon Test Fishing
08/12,2019,11.421,Coho,Coho,Single Run,Lower Yukon Test Fishing
08/13,2019,20.292,Coho,Coho,Single Run,Lower Yukon Test Fishing
08/14,2019,23.292,Coho,Coho,Single Run,Lower Yukon Test Fishing
08/15,2019,31.084,Coho,Coho,Single Run,Lower Yukon Test Fishing
08/16,2019,35.118,Coho,Coho,Single Run,Lower Yukon Test Fishing
08/17,2019,39.16,Coho,Coho,Single Run,Lower Yukon Test Fishing
08/18,2019,40.689,Coho,Coho,Single Run,Lower Yukon Test Fishing
08/19,2019,40.689,Coho,Coho,Single Run,Lower Yukon Test Fishing
08/20,2019,41.451,Coho,Coho,Single Run,Lower Yukon Test Fishing
08/21,2019,54.281,Coho,Coho,Single Run,Lower Yukon Test Fishing
08/22,2019,63.008,Coho,Coho,Single Run,Lower Yukon Test Fishing
08/23,2019,70.015,Coho,Coho,Single Run,Lower Yukon Test Fishing
08/24,2019,92.341,Coho,Coho,Single Run,Lower Yukon Test Fishing
08/25,2019,107.707,Coho,Coho,Single Run,Lower Yukon Test Fishing
08/26,2019,113.67,Coho,Coho,Single Run,Lower Yukon Test Fishing
08/27,2019,118.47,Coho,Coho,Single Run,Lower Yukon Test Fishing
08/28,2019,120.77,Coho,Coho,Single Run,Lower Yukon Test Fishing
08/29,2019,123.887,Coho,Coho,Single Run,Lower Yukon Test Fishing
08/30,2019,132.571,Coho,Coho,Single Run,Lower Yukon Test Fishing
08/31,2019,137.308,Coho,Coho,Single Run,Lower Yukon Test Fishing
09/01,2019,141.255,Coho,Coho,Single Run,Lower Yukon Test Fishing
09/02,2019,155.327,Coho,Coho,Single Run,Lower Yukon Test Fishing
09/03,2019,163.145,Coho,Coho,Single Run,Lower Yukon Test Fishing
09/04,2019,170.912,Coho,Coho,Single Run,Lower Yukon Test Fishing
09/05,2019,177.066,Coho,Coho,Single Run,Lower Yukon Test Fishing
09/06,2019,184.961,Coho,Coho,Single Run,Lower Yukon Test Fishing
09/07,2019,189.682,Coho,Coho,Single Run,Lower Yukon Test Fishing
09/08,2019,192.05,Coho,Coho,Single Run,Lower Yukon Test Fishing
09/09,2019,192.853,Coho,Coho,Single Run,Lower Yukon Test Fishing
09/10,2019,195.221,Coho,Coho,Single Run,Lower Yukon Test Fishing
07/16,2018,0,Coho,Coho,Single Run,Lower Yukon Test Fishing
07/17,2018,0,Coho,Coho,Single Run,Lower Yukon Test Fishing
07/18,2018,0,Coho,Coho,Single Run,Lower Yukon Test Fishing
07/19,2018,0,Coho,Coho,Single Run,Lower Yukon Test Fishing
07/20,2018,0,Coho,Coho,Single Run,Lower Yukon Test Fishing
07/21,2018,0,Coho,Coho,Single Run,Lower Yukon Test Fishing
07/22,2018,0,Coho,Coho,Single Run,Lower Yukon Test Fishing
07/23,2018,0,Coho,Coho,Single Run,Lower Yukon Test Fishing
07/24,2018,0,Coho,Coho,Single Run,Lower Yukon Test Fishing
07/25,2018,0,Coho,Coho,Single Run,Lower Yukon Test Fishing
07/26,2018,0,Coho,Coho,Single Run,Lower Yukon Test Fishing
07/27,2018,0,Coho,Coho,Single Run,Lower Yukon Test Fishing
07/28,2018,0,Coho,Coho,Single Run,Lower Yukon Test Fishing
07/29,2018,0,Coho,Coho,Single Run,Lower Yukon Test Fishing
07/30,2018,0,Coho,Coho,Single Run,Lower Yukon Test Fishing
07/31,2018,0,Coho,Coho,Single Run,Lower Yukon Test Fishing
08/01,2018,0.755,Coho,Coho,Single Run,Lower Yukon Test Fishing
08/02,2018,1.542,Coho,Coho,Single Run,Lower Yukon Test Fishing
08/03,2018,2.789,Coho,Coho,Single Run,Lower Yukon Test Fishing
08/04,2018,4.528,Coho,Coho,Single Run,Lower Yukon Test Fishing
08/05,2018,5.549,Coho,Coho,Single Run,Lower Yukon Test Fishing
08/06,2018,11.439,Coho,Coho,Single Run,Lower Yukon Test Fishing
08/07,2018,12.939,Coho,Coho,Single Run,Lower Yukon Test Fishing
08/08,2018,16.443,Coho,Coho,Single Run,Lower Yukon Test Fishing
08/09,2018,27.019,Coho,Coho,Single Run,Lower Yukon Test Fishing
08/10,2018,27.783,Coho,Coho,Single Run,Lower Yukon Test Fishing
08/11,2018,30.061,Coho,Coho,Single Run,Lower Yukon Test Fishing
08/12,2018,34.662,Coho,Coho,Single Run,Lower Yukon Test Fishing
08/13,2018,36.241,Coho,Coho,Single Run,Lower Yukon Test Fishing
08/14,2018,47.892,Coho,Coho,Single Run,Lower Yukon Test Fishing
08/15,2018,67.528,Coho,Coho,Single Run,Lower Yukon Test Fishing
