Date Kog.,Sample Year,Cumulative CPUE,Species,SpeciesRun,Run,Project
07/16,2021,13.035,Chum,Fall Chum,Fall Run,Lower Yukon Test Fishing
07/17,2021,14.614,Chum,Fall Chum,Fall Run,Lower Yukon Test Fishing
07/18,2021,17.681,Chum,Fall Chum,Fall Run,Lower Yukon Test Fishing
07/19,2021,19.255,Chum,Fall Chum,Fall Run,Lower Yukon Test Fishing
07/20,2021,19.255,Chum,Fall Chum,Fall Run,Lower Yukon Test Fishing
07/21,2021,19.255,Chum,Fall Chum,Fall Run,Lower Yukon Test Fishing
07/22,2021,19.255,Chum,Fall Chum,Fall Run,Lower Yukon Test Fishing
07/23,2021,22.392,Chum,Fall Chum,Fall Run,Lower Yukon Test Fishing
07/24,2021,22.392,Chum,Fall Chum,Fall Run,Lower Yukon Test Fishing
07/25,2021,23.187,Chum,Fall Chum,Fall Run,Lower Yukon Test Fishing
07/26,2021,23.187,Chum,Fall Chum,Fall Run,Lower Yukon Test Fishing
07/27,2021,28.427,Chum,Fall Chum,Fall Run,Lower Yukon Test Fishing
07/28,2021,34.977,Chum,Fall Chum,Fall Run,Lower Yukon Test Fishing
07/29,2021,44.977,Chum,Fall Chum,Fall Run,Lower Yukon Test Fishing
07/30,2021,46.561,Chum,Fall Chum,Fall Run,Lower Yukon Test Fishing
07/31,2021,47.351,Chum,Fall Chum,Fall Run,Lower Yukon Test Fishing
08/01,2021,47.351,Chum,Fall Chum,Fall Run,Lower Yukon Test Fishing
08/02,2021,47.351,Chum,Fall Chum,Fall Run,Lower Yukon Test Fishing
08/03,2021,48.128,Chum,Fall Chum,Fall Run,Lower Yukon Test Fishing
08/04,2021,48.128,Chum,Fall Chum,Fall Run,Lower Yukon Test Fishing
08/05,2021,48.128,Chum,Fall Chum,Fall Run,Lower Yukon Test Fishing
08/06,2021,50.443,Chum,Fall Chum,Fall Run,Lower Yukon Test Fishing
08/07,2021,51.977,Chum,Fall Chum,Fall Run,Lower Yukon Test Fishing
08/08,2021,51.977,Chum,Fall Chum,Fall Run,Lower Yukon Test Fishing
08/09,2021,51.977,Chum,Fall Chum,Fall Run,Lower Yukon Test Fishing
08/10,2021,53.525,Chum,Fall Chum,Fall Run,Lower Yukon Test Fishing
08/11,2021,55.594,Chum,Fall Chum,Fall Run,Lower Yukon Test Fishing
08/12,2021,55.594,Chum,Fall Chum,Fall Run,Lower Yukon Test Fishing
08/13,2021,57.947,Chum,Fall Chum,Fall Run,Lower Yukon Test Fishing
08/14,2021,57.947,Chum,Fall Chum,Fall Run,Lower Yukon Test Fishing
08/15,2021,60.972,Chum,Fall Chum,Fall Run,Lower Yukon Test Fishing
08/16,2021,65.075,Chum,Fall Chum,Fall Run,Lower Yukon Test Fishing
08/17,2021,65.075,Chum,Fall Chum,Fall Run,Lower Yukon Test Fishing
08/18,2021,75.011,Chum,Fall Chum,Fall Run,Lower Yukon Test Fishing
08/19,2021,75.011,Chum,Fall Chum,Fall Run,Lower Yukon Test Fishing
08/20,2021,75.011,Chum,Fall Chum,Fall Run,Lower Yukon Test Fishing
08/21,2021,91.165,Chum,Fall Chum,Fall Run,Lower Yukon Test Fishing
08/22,2021,99.792,Chum,Fall Chum,Fall Run,Lower Yukon Test Fishing
08/23,2021,109.235,Chum,Fall Chum,Fall Run,Lower Yukon Test Fishing
08/24,2021,114.672,Chum,Fall Chum,Fall Run,Lower Yukon Test Fishing
08/25,2021,114.672,Chum,Fall Chum,Fall Run,Lower Yukon Test Fishing
08/26,2021,114.672,Chum,Fall Chum,Fall Run,Lower Yukon Test Fishing
08/27,2021,114.672,Chum,Fall Chum,Fall Run,Lower Yukon Test Fishing
08/28,2021,114.672,Chum,Fall Chum,Fall Run,Lower Yukon Test Fishing
08/29,2021,114.672,Chum,Fall Chum,Fall Run,Lower Yukon Test Fishing
08/30,2021,114.672,Chum,Fall Chum,Fall Run,Lower Yukon Test Fishing
08/31,2021,117.04,Chum,Fall Chum,Fall Run,Lower Yukon Test Fishing
09/01,2021,118.619,Chum,Fall Chum,Fall Run,Lower Yukon Test Fishing
09/02,2021,119.408,Chum,Fall Chum,Fall Run,Lower Yukon Test Fishing
09/03,2021,120.461,Chum,Fall Chum,Fall Run,Lower Yukon Test Fishing
09/04,2021,122.566,Chum,Fall Chum,Fall Run,Lower Yukon Test Fishing
09/05,2021,123.355,Chum,Fall Chum,Fall Run,Lower Yukon Test Fishing
09/06,2021,123.355,Chum,Fall Chum,Fall Run,Lower Yukon Test Fishing
09/07,2021,123.355,Chum,Fall Chum,Fall Run,Lower Yukon Test Fishing
09/08,2021,123.355,Chum,Fall Chum,Fall Run,Lower Yukon Test Fishing
09/09,2021,124.144,Chum,Fall Chum,Fall Run,Lower Yukon Test Fishing
09/10,2021,125.723,Chum,Fall Chum,Fall Run,Lower Yukon Test Fishing
07/16,2020,13.935,Chum,Fall Chum,Fall Run,Lower Yukon Test Fishing
07/17,2020,24.235,Chum,Fall Chum,Fall Run,Lower Yukon Test Fishing
07/18,2020,60.691,Chum,Fall Chum,Fall Run,Lower Yukon Test Fishing
07/19,2020,120.691,Chum,Fall Chum,Fall Run,Lower Yukon Test Fishing
07/20,2020,139.232,Chum,Fall Chum,Fall Run,Lower Yukon Test Fishing
07/21,2020,163.639,Chum,Fall Chum,Fall Run,Lower Yukon Test Fishing
07/22,2020,187.535,Chum,Fall Chum,Fall Run,Lower Yukon Test Fishing
07/23,2020,195.602,Chum,Fall Chum,Fall Run,Lower Yukon Test Fishing
07/24,2020,196.734,Chum,Fall Chum,Fall Run,Lower Yukon Test Fishing
07/25,2020,201.84,Chum,Fall Chum,Fall Run,Lower Yukon Test Fishing
07/26,2020,217.492,Chum,Fall Chum,Fall Run,Lower Yukon Test Fishing
07/27,2020,264.322,Chum,Fall Chum,Fall Run,Lower Yukon Test Fishing
07/28,2020,342.322,Chum,Fall Chum,Fall Run,Lower Yukon Test Fishing
07/29,2020,406.039,Chum,Fall Chum,Fall Run,Lower Yukon Test Fishing
07/30,2020,419.43,Chum,Fall Chum,Fall Run,Lower Yukon Test Fishing
07/31,2020,424.67,Chum,Fall Chum,Fall Run,Lower Yukon Test Fishing
08/01,2020,424.67,Chum,Fall Chum,Fall Run,Lower Yukon Test Fishing
08/02,2020,424.67,Chum,Fall Chum,Fall Run,Lower Yukon Test Fishing
08/03,2020,425.727,Chum,Fall Chum,Fall Run,Lower Yukon Test Fishing
08/04,2020,477.592,Chum,Fall Chum,Fall Run,Lower Yukon Test Fishing
08/05,2020,544.792,Chum,Fall Chum,Fall Run,Lower Yukon Test Fishing
08/06,2020,548.877,Chum,Fall Chum,Fall Run,Lower Yukon Test Fishing
08/07,2020,550.411,Chum,Fall Chum,Fall Run,Lower Yukon Test Fishing
08/08,2020,660.575,Chum,Fall Chum,Fall Run,Lower Yukon Test Fishing
08/09,2020,685.19,Chum,Fall Chum,Fall Run,Lower Yukon Test Fishing
08/10,2020,688.28,Chum,Fall Chum,Fall Run,Lower Yukon Test Fishing
08/11,2020,693.343,Chum,Fall Chum,Fall Run,Lower Yukon Test Fishing
08/12,2020,694.373,Chum,Fall Chum,Fall Run,Lower Yukon Test Fishing
08/13,2020,698.511,Chum,Fall Chum,Fall Run,Lower Yukon Test Fishing
08/14,2020,713.83,Chum,Fall Chum,Fall Run,Lower Yukon Test Fishing
08/15,2020,736.298,Chum,Fall Chum,Fall Run,Lower Yukon Test Fishing
08/16,2020,804.314,Chum,Fall Chum,Fall Run,Lower Yukon Test Fishing
08/17,2020,813.428,Chum,Fall Chum,Fall Run,Lower Yukon Test Fishing
08/18,2020,816.505,Chum,Fall Chum,Fall Run,Lower Yukon Test Fishing
08/19,2020,816.505,Chum,Fall Chum,Fall Run,Lower Yukon Test Fishing
08/20,2020,820.608,Chum,Fall Chum,Fall Run,Lower Yukon Test Fishing
08/21,2020,846.249,Chum,Fall Chum,Fall Run,Lower Yukon Test Fishing
08/22,2020,846.249,Chum,Fall Chum,Fall Run,Lower Yukon Test Fishing
08/23,2020,983.392,Chum,Fall Chum,Fall Run,Lower Yukon Test Fishing
08/24,2020,1023.72,Chum,Fall Chum,Fall Run,Lower Yukon Test Fishing
08/25,2020,1023.72,Chum,Fall Chum,Fall Run,Lower Yukon Test Fishing
08/26,2020,1024.737,Chum,Fall Chum,Fall Run,Lower Yukon Test Fishing
