StationName,Latitude,Longitude,WaterBodyName,WateryBodyType,Year,ObservedIceThickness,ObservationDate,MaximumIceThickness,MaximumIceThicknessDate,Alpha-coefficient,AccumulatedFreezingDegreeDays,WeatherStationName-Identifier,IceDataSource,
Anchorage,61.181,-149.972,Lake Hood,lake,1997,46,3/17/1997,47,4/1/1997,1.56,-1134,Anchorage-PANC,Alaska Pacific River Forecast Center,
Anchorage,61.181,-149.972,Lake Hood,lake,1999,69,3/1/1999,72,3/23/1999,2.02,-1317,Anchorage-PANC,Alaska Pacific River Forecast Center,
Anchorage,61.181,-149.972,Lake Hood,lake,2000,74,2/27/2000,74,3/11/2000,2.58,-978,Anchorage-PANC,Alaska Pacific River Forecast Center,
Anchorage,61.181,-149.972,Lake Hood,lake,2001,multiple,multiple,65,3/25/2001,3.72,-457,Anchorage-PANC,Alaska Pacific River Forecast Center,
Anchorage,61.181,-149.972,Lake Hood,lake,2002,69,3/1/2002,77,4/16/2002,2.37,-1214,Anchorage-PANC,Alaska Pacific River Forecast Center,
Anchorage,61.181,-149.972,Lake Hood,lake,2003,multiple,multiple,46,2/1/2003,2.56,-318,Anchorage-PANC,Alaska Pacific River Forecast Center,
Anchorage,61.181,-149.972,Lake Hood,lake,2004,multiple,multiple,63,4/4/2004,1.98,-1089,Anchorage-PANC,Alaska Pacific River Forecast Center,
Anchorage,61.181,-149.972,Lake Hood,lake,2005,69,3/3/2005,69,3/4/2005,3.18,-669,Anchorage-PANC,Alaska Pacific River Forecast Center,
Anchorage,61.181,-149.972,Lake Hood,lake,2006,multiple,multiple,70,3/20/2006,2.46,-1089,Anchorage-PANC,Alaska Pacific River Forecast Center,
Anchorage,61.181,-149.972,Lake Hood,lake,2007,79,3/31/2007,79,4/2/2007,2.30,-1343,Anchorage-PANC,Alaska Pacific River Forecast Center,
Anchorage,61.181,-149.972,Lake Hood,lake,2008,51,3/1/2008,52,2/16/2008,2.15,-813,Anchorage-PANC,Alaska Pacific River Forecast Center,
Anchorage,61.181,-149.972,Lake Hood,lake,2009,61,4/2/2009,61,4/9/2009,1.89,-1311,Anchorage-PANC,Alaska Pacific River Forecast Center,
Anchorage,61.181,-149.972,Lake Hood,lake,2010,multiple,multiple,59,3/18/2010,2.25,-830,Anchorage-PANC,Alaska Pacific River Forecast Center,
Anchorage,61.181,-149.972,Lake Hood,lake,2011,multiple,multiple,84,3/27/2011,2.78,-1059,Anchorage-PANC,Alaska Pacific River Forecast Center,
Anchorage,61.181,-149.972,Lake Hood,lake,2012,multiple,multiple,72,3/26/2012,2.19,-1253,Anchorage-PANC,Alaska Pacific River Forecast Center,
Anchorage,61.181,-149.972,Lake Hood,lake,2013,76,3/28/2013,77,4/18/2013,2.80,-1005,Anchorage-PANC,Alaska Pacific River Forecast Center,
Anchorage,61.181,-149.972,Lake Hood,lake,2014,69,3/3/2014,72,4/3/2014,3.11,-791,Anchorage-PANC,Alaska Pacific River Forecast Center,
Anchorage,61.181,-149.972,Lake Hood,lake,2015,51,3/3/2015,54,3/16/2015,3.33,-578,Anchorage-PANC,Alaska Pacific River Forecast Center,
Anchorage,61.181,-149.972,Lake Hood,lake,2016,multiple,multiple,61,2/19/2016,3.34,-491,Anchorage-PANC,Alaska Pacific River Forecast Center,
Anchorage,61.181,-149.972,Lake Hood,lake,2017,76,3/23/2017,77,3/30/2017,2.58,-1145,Anchorage-PANC,Alaska Pacific River Forecast Center,
Anchorage,61.181,-149.972,Lake Hood,lake,2018,multiple,multiple,68,3/15/2018,2.85,-781,Anchorage-PANC,Alaska Pacific River Forecast Center,
Anchorage,61.181,-149.972,Lake Hood,lake,2019,multiple,multiple,66,3/7/2019,3.36,-589,Anchorage-PANC,Alaska Pacific River Forecast Center,
Barrow,71.328,-156.655,Imikpuk Lake,lake,1962,182,4/2/1962,200,6/8/1962,3.03,-4392,Barrow-PABR,Bilello 1980,
Barrow,71.328,-156.655,Imikpuk Lake,lake,1966,154,4/18/1966,162,6/3/1966,2.30,-5014,Barrow-PABR,Bilello 1980,
Barrow,71.328,-156.655,Imikpuk Lake,lake,1967,156,4/29/1967,158,6/10/1967,2.48,-4213,Barrow-PABR,Bilello 1980,
Barrow,71.328,-156.655,Imikpuk Lake,lake,1970,191,3/28/1970,211,5/28/1970,3.02,-4873,Barrow-PABR,Bilello 1980,
Barrow,71.328,-156.655,Imikpuk Lake,lake,1971,185,3/22/1971,206,6/3/1971,2.79,-5460,Barrow-PABR,Bilello 1980,
Barrow,71.328,-156.655,Imikpuk Lake,lake,1972,184,4/14/1972,194,6/7/1972,2.75,-4984,Barrow-PABR,Bilello 1980,
Barrow,71.328,-156.655,Imikpuk Lake,lake,1973,193,4/28/1973,198,5/25/1973,2.98,-4482,Barrow-PABR,Bilello 1980,
Barrow,71.328,-156.655,multiple,lake,1992,196,4/24/1992,202,5/17/1992,2.89,-4871,Barrow-PABR,Jeffries et al 1994,
Barrow,71.328,-156.655,multiple,lake,1997,153,4/15/1997,161,6/3/1997,2.39,-4541,Barrow-PABR,Jeffries et al 1999,
Barrow,71.328,-156.655,Imikpuk Lake,lake,2003,171,3/27/2003,171,6/2/2003,3.01,-3894,Barrow-PABR,Morris and Jeffries 2010,
Barrow,71.328,-156.655,Imikpuk Lake,lake,2004,155,3/29/2004,169,6/3/2004,2.57,-4341,Barrow-PABR,Morris and Jeffries 2010,
Barrow,71.328,-156.655,Imikpuk Lake,lake,2005,192,5/12/2005,194,6/8/2005,3.03,-4093,Barrow-PABR,Morris and Jeffries 2010,
Barrow,71.328,-156.655,Imikpuk Lake,lake,2006,131,3/29/2006,144,5/24/2006,2.21,-4290,Barrow-PABR,Morris and Jeffries 2010,
Barrow,71.328,-156.655,multiple,lake,2007,170,5/4/2007,175,6/2/2007,2.74,-4054,Barrow-PABR,Jones et al. 2009,
Barrow,71.328,-156.655,multiple,lake,2008,142,3/29/2008,154,5/22/2008,2.46,-3932,Barrow-PABR,Jones et al. 2009,
Barrow,71.328,-156.655,multiple,lake,2009,127,3/8/2009,151,5/17/2009,2.37,-4078,Barrow-PABR,Jones et al. 2009,
Barrow,71.328,-156.655,multiple,lake,2010,142,3/17/2010,161,6/6/2010,2.54,-4045,Barrow-PABR,Morris and Jeffries 2010,
Barrow,71.328,-156.655,multiple,lake,2011,170,4/30/2011,174,5/20/2011,2.79,-3884,Barrow-PABR,Morris and Jeffries 2010,
Barrow,71.328,-156.655,multiple,lake,2012,167,4/6/2012,176,5/30/2012,2.62,-4554,Barrow-PABR,Arp et al. 2016,
Barrow,71.328,-156.655,multiple,lake,2013,166,4/7/2013,178,5/20/2013,2.80,-4044,Barrow-PABR,Arp et al. 2016,
Barrow,71.328,-156.655,multiple,lake,2014,121,4/14/2014,124,6/2/2014,2.10,-3609,Barrow-PABR,Arp et al. 2016,
Barrow,71.328,-156.655,multiple,lake,2015,139,4/7/2015,147,5/16/2015,2.39,-3472,Barrow-PABR,Arp et al. 2016,
Barrow,71.328,-156.655,multiple,lake,2016,181,5/3/2016,182,5/9/2016,3.02,-3625,Barrow-PABR,Arp et al. 2019,
Barrow,71.328,-156.655,multiple,lake,2017,108,3/28/2017,120,6/10/2017,2.11,-3262,Barrow-PABR,Arp et al. 2019,
Barrow,71.328,-156.655,multiple,lake,2018,106,4/12/2018,114,6/4/2018,2.08,-3085,Barrow-PABR,Arp et al. 2019,
Barrow,71.328,-156.655,multiple,lake,2019,115,4/20/2019,118,5/25/2019,2.08,-3221,Barrow-PABR,Arp et al. 2019,
Bethel,60.791,-161.755,Kuskokwim River,river,1962,multiple,multiple,147,5/5/1962,3.28,-2126.0,Nenana-PANN,Bilello 1980,
Bethel,60.791,-161.755,Kuskokwim River,river,1963,multiple,multiple,107,4/19/1963,2.86,-1894,Bethel-PABE,Bilello 1980,
Bethel,60.791,-161.755,Kuskokwim River,river,1964,multiple,multiple,137,4/6/1964,3.07,-2477.0,Bethel-PABE,Bilello 1980,
Bethel,60.791,-161.755,Kuskokwim River,river,1965,multiple,multiple,104,3/5/1965,2.26,-2146.0,Bethel-PABE,Bilello 1980,
Bethel,60.791,-161.755,Kuskokwim River,river,1966,multiple,multiple,120,4/25/1966,2.82,-2338,Bethel-PABE,Bilello 1980,
Bethel,60.791,-161.755,Kuskokwim River,river,1967,multiple,multiple,110,3/29/1967,2.79,-1782,Bethel-PABE,Bilello 1980,
Bethel,60.791,-161.755,Kuskokwim River,river,1968,multiple,multiple,109,4/18/1968,3.14,-1924,Bethel-PABE,Bilello 1980,
Bethel,60.791,-161.755,Kuskokwim River,river,1969,multiple,multiple,111,4/6/1969,2.69,-1924,Bethel-PABE,Bilello 1980,
Bethel,60.791,-161.755,Kuskokwim River,river,1970,multiple,multiple,116,4/11/1970,2.91,-2124,Bethel-PABE,Bilello 1980,
Bethel,60.791,-161.755,Kuskokwim River,river,1971,multiple,multiple,159,4/24/1971,3.53,-2643,Bethel-PABE,Bilello 1980,
Bethel,60.791,-161.755,Kuskokwim River,river,1972,multiple,multiple,140,4/30/1972,3.03,-2484,Bethel-PABE,Bilello 1980,
Bethel,60.791,-161.755,Kuskokwim River,river,1973,multiple,multiple,129,3/27/1973,3.23,-2043,Bethel-PABE,Bilello 1980,
Bethel,60.791,-161.755,Kuskokwim River,river,1974,multiple,multiple,128,3/19/1974,3.51,-1876,Bethel-PABE,Bilello 1980,
Bethel,60.791,-161.755,Kuskokwim River,river,1975,multiple,multiple,128,4/3/1975,2.83,-2546,Bethel-PABE,Bilello 1980,
Bethel,60.791,-161.755,Kuskokwim River,river,1976,multiple,multiple,131,4/21/1976,2.59,-2790,Bethel-PABE,Bilello 1980,
Bethel,60.791,-161.755,Kuskokwim River,river,1977,multiple,multiple,115,4/28/1977,3.11,-1873,Bethel-PABE,Bilello 1980,
Bethel,60.791,-161.755,Kuskokwim River,river,1978,multiple,multiple,130,4/5/1978,4.12,-1656,Bethel-PABE,Bilello 1980,
Bethel,60.791,-161.755,Kuskokwim River,river,1979,multiple,multiple,110,3/20/1979,4.41,-1388,Bethel-PABE,Bilello 1980,
Bethel,60.791,-161.755,Kuskokwim River,river,1980,multiple,multiple,123,3/28/1980,3.81,-1813,Bethel-PABE,Bilello 1980,
Bethel,60.791,-161.755,Kuskokwim River,river,1981,multiple,multiple,139,2/23/1981,4.23,-1301.0,Bethel-PABE,Bilello 1980,
Bethel,60.791,-161.755,Kuskokwim River,river,1982,multiple,multiple,105,4/23/1982,3.84,-1761,Bethel-PABE,Bilello 1980,
Bethel,60.791,-161.755,Kuskokwim River,river,1983,multiple,multiple,123,3/20/1983,3.77,-1513,Bethel-PABE,Bilello 1980,
Bethel,60.791,-161.755,Kuskokwim River,river,1984,multiple,multiple,125,3/4/1984,4.07,-1736,Bethel-PABE,Bilello 1980,
Bethel,60.791,-161.755,Kuskokwim River,river,1991,multiple,multiple,106,3/22/1991,3.37,-1724,Bethel-PABE,Bilello 1980,
Bethel,60.791,-161.755,Kuskokwim River,river,1996,multiple,multiple,130,2/25/1996,3.45,-1470,Bethel-PABE,Alaska Pacific River Forecast Center,
Bethel,60.791,-161.755,Kuskokwim River,river,1997,multiple,multiple,98,4/3/1997,2.77,-1711,Bethel-PABE,Alaska Pacific River Forecast Center,
Bethel,60.791,-161.755,Kuskokwim River,river,1998,multiple,multiple,101,3/4/1998,2.69,-1790,Bethel-PABE,Alaska Pacific River Forecast Center,
Bethel,60.791,-161.755,Kuskokwim River,river,1999,multiple,multiple,125,3/23/1999,2.80,-2087.0,Bethel-PABE,Alaska Pacific River Forecast Center,
Bethel,60.791,-161.755,Kuskokwim River,river,2000,multiple,multiple,94,1/30/2000,2.19,-1815,Bethel-PABE,Alaska Pacific River Forecast Center,
Bethel,60.791,-161.755,Kuskokwim River,river,2001,multiple,multiple,90,4/19/2001,3.98,-990,Bethel-PABE,Alaska Pacific River Forecast Center,
Bethel,60.791,-161.755,Kuskokwim River,river,2002,multiple,multiple,124,3/14/2002,3.08,-1907,Bethel-PABE,Alaska Pacific River Forecast Center,
Bethel,60.791,-161.755,Kuskokwim River,river,2003,multiple,multiple,98,2/21/2003,4.24,-829,Bethel-PABE,Alaska Pacific River Forecast Center,
Bethel,60.791,-161.755,Kuskokwim River,river,2004,multiple,multiple,111,4/4/2004,3.3,-1783,Bethel-PABE,Alaska Pacific River Forecast Center,
Bethel,60.791,-161.755,Kuskokwim River,river,2005,multiple,multiple,121,4/21/2005,4.14,-1531,Bethel-PABE,Alaska Pacific River Forecast Center,
Bethel,60.791,-161.755,Kuskokwim River,river,2006,multiple,multiple,115,5/1/2006,2.78,-2263,Bethel-PABE,Alaska Pacific River Forecast Center,
Bethel,60.791,-161.755,Kuskokwim River,river,2007,multiple,multiple,117,3/31/2007,3.50,-1789.0,Bethel-PABE,Alaska Pacific River Forecast Center,
Bethel,60.791,-161.755,Kuskokwim River,river,2008,multiple,multiple,82,3/29/2008,2.32,-1632,Bethel-PABE,Alaska Pacific River Forecast Center,
Bethel,60.791,-161.755,Kuskokwim River,river,2009,multiple,multiple,141,4/21/2009,3.10,-2236,Bethel-PABE,Alaska Pacific River Forecast Center,
Bethel,60.791,-161.755,Kuskokwim River,river,2010,multiple,multiple,139,4/8/2010,3.49,-2140,Bethel-PABE,Alaska Pacific River Forecast Center,
Bethel,60.791,-161.755,Kuskokwim River,river,2011,multiple,multiple,112,4/22/2011,3.14,-1875,Bethel-PABE,Alaska Pacific River Forecast Center,
Bethel,60.791,-161.755,Kuskokwim River,river,2012,multiple,multiple,136,4/8/2012,2.81,-2523,Bethel-PABE,Alaska Pacific River Forecast Center,
Bethel,60.791,-161.755,Kuskokwim River,river,2013,multiple,multiple,132,5/8/2013,2.88,-2243,Bethel-PABE,Alaska Pacific River Forecast Center,
Bethel,60.791,-161.755,Kuskokwim River,river,2014,multiple,multiple,112,4/12/2014,5.24,-1243,Bethel-PABE,Alaska Pacific River Forecast Center,
Bethel,60.791,-161.755,Kuskokwim River,river,2015,multiple,multiple,97,3/22/2015,4.66,-1249,Bethel-PABE,Alaska Pacific River Forecast Center,
Bethel,60.791,-161.755,Kuskokwim River,river,2016,multiple,multiple,96,3/20/2016,3.73,-930,Bethel-PABE,Alaska Pacific River Forecast Center,
Bethel,60.791,-161.755,Kuskokwim River,river,2017,multiple,multiple,136,4/6/2017,3.36,-1913,Bethel-PABE,Alaska Pacific River Forecast Center,
Bethel,60.791,-161.755,Kuskokwim River,river,2018,multiple,multiple,94,4/9/2018,3.67,-927.0,Bethel-PABE,Alaska Pacific River Forecast Center,
Bethel,60.791,-161.755,Kuskokwim River,river,2019,multiple,multiple,69,2/21/2019,2.89,-880,Bethel-PABE,Alaska Pacific River Forecast Center,
Bettles,66.926,-151.509,Koyukuk River,river,1968,multiple,multiple,81,4/28/1968,1.37,-3608,Bettles-PABT,Bilello 1980,
Bettles,66.926,-151.509,Koyukuk River,river,1969,multiple,multiple,109,4/7/1969,1.74,-3858,Bettles-PABT,Bilello 1980,
Bettles,66.926,-151.509,Koyukuk River,river,1970,multiple,multiple,89,4/13/1970,1.64,-2974,Bettles-PABT,Bilello 1980,
Bettles,66.926,-151.509,Koyukuk River,river,1971,multiple,multiple,100,4/12/1971,1.58,-4524,Bettles-PABT,Bilello 1980,
Bettles,66.926,-151.509,Koyukuk River,river,1972,multiple,multiple,83,4/29/1972,1.24,-4495,Bettles-PABT,Bilello 1980,
Bettles,66.926,-151.509,Koyukuk River,river,1973,multiple,multiple,88,4/29/1973,1.47,-3673,Bettles-PABT,Bilello 1980,
Bettles,66.926,-151.509,Koyukuk River,river,1974,multiple,multiple,102,4/16/1974,1.77,-3324,Bettles-PABT,Bilello 1980,
Bettles,66.926,-151.509,Koyukuk River,river,1975,multiple,multiple,93,4/24/1975,1.48,-4022,Bettles-PABT,Bilello 1980,
Bettles,66.926,-151.509,Koyukuk River,river,1976,multiple,multiple,126,4/21/1976,2.00,-4028,Bettles-PABT,Bilello 1980,
Bettles,66.926,-151.509,Koyukuk River,river,1977,multiple,multiple,122,4/19/1977,2.26,-3006,Bettles-PABT,Bilello 1980,
Bettles,66.926,-151.509,Koyukuk River,river,1978,multiple,multiple,182,4/12/1978,3.21,-3207,Bettles-PABT,Bilello 1980,
Bettles,66.926,-151.509,Koyukuk River,river,1979,multiple,multiple,122,4/19/1979,2.08,-3441,Bettles-PABT,Bilello 1980,
Bettles,66.926,-151.509,Koyukuk River,river,1980,multiple,multiple,106,4/20/1980,2.00,-2821,Bettles-PABT,Bilello 1980,
Bettles,66.926,-151.509,Koyukuk River,river,1981,multiple,multiple,113,4/23/1981,2.16,-2728.0,Bettles-PABT,Bilello 1980,
Bettles,66.926,-151.509,Koyukuk River,river,1982,multiple,multiple,159,5/5/1982,2.77,-3330.0,Bettles-PABT,Bilello 1980,
Bettles,66.926,-151.509,Koyukuk River,river,1983,multiple,multiple,124,4/17/1983,2.19,-3218.0,Bettles-PABT,Bilello 1980,
Bettles,66.926,-151.509,Koyukuk River,river,1984,multiple,multiple,113,4/27/1984,1.85,-3773.0,Bettles-PABT,Bilello 1980,
Bettles,66.926,-151.509,Koyukuk River,river,1986,multiple,multiple,104,4/29/1986,1.78,-3442,Bettles-PABT,Bilello 1980,
Bettles,66.926,-151.509,Koyukuk River,river,1987,multiple,multiple,112,4/28/1987,2.03,-3093,Bettles-PABT,Bilello 1980,
Bettles,66.926,-151.509,Koyukuk River,river,1988,multiple,multiple,89,4/11/1988,1.66,-2877,Bettles-PABT,Alaska Pacific River Forecast Center,
Bettles,66.926,-151.509,Koyukuk River,river,1989,multiple,multiple,119,4/12/1989,1.97,-3664,Bettles-PABT,Alaska Pacific River Forecast Center,
Bettles,66.926,-151.509,Koyukuk River,river,1990,multiple,multiple,122,4/22/1990,2.06,-3659,Bettles-PABT,Alaska Pacific River Forecast Center,
Bettles,66.926,-151.509,Koyukuk River,river,1991,multiple,multiple,112,4/13/1991,1.93,-3344,Bettles-PABT,Alaska Pacific River Forecast Center,
Bettles,66.926,-151.509,Koyukuk River,river,1992,multiple,multiple,144,4/14/1992,2.47,-3395,Bettles-PABT,Alaska Pacific River Forecast Center,
Bettles,66.926,-151.509,Koyukuk River,river,1993,multiple,multiple,105,4/13/1993,1.84,-3232,Bettles-PABT,Alaska Pacific River Forecast Center,
Bettles,66.926,-151.509,Koyukuk River,river,1994,multiple,multiple,111,3/29/1994,2.29,-2348,Bettles-PABT,Alaska Pacific River Forecast Center,
Bettles,66.926,-151.509,Koyukuk River,river,1995,multiple,multiple,85,4/10/1995,1.53,-3045.0,Bettles-PABT,Alaska Pacific River Forecast Center,
Bettles,66.926,-151.509,Koyukuk River,river,1996,multiple,multiple,120,4/16/1996,1.97,-3735,Bettles-PABT,Alaska Pacific River Forecast Center,
Bettles,66.926,-151.509,Koyukuk River,river,2000,multiple,multiple,114,4/12/2000,1.96,-3406,Bettles-PABT,Alaska Pacific River Forecast Center,
Bettles,66.926,-151.509,Koyukuk River,river,2001,multiple,multiple,101,5/6/2001,1.93,-2878,Bettles-PABT,Alaska Pacific River Forecast Center,
Bettles,66.926,-151.509,Koyukuk River,river,2002,multiple,multiple,107,4/25/2002,1.90,-3136.0,Bettles-PABT,Alaska Pacific River Forecast Center,
Bettles,66.926,-151.509,Koyukuk River,river,2003,multiple,multiple,113,4/17/2003,2.32,-2600,Bettles-PABT,Alaska Pacific River Forecast Center,
Bettles,66.926,-151.509,Koyukuk River,river,2004,multiple,multiple,132,4/4/2004,2.36,-3112,Bettles-PABT,Alaska Pacific River Forecast Center,
Bettles,66.926,-151.509,Koyukuk River,river,2005,multiple,multiple,93,4/21/2005,1.65,-3137,Bettles-PABT,Alaska Pacific River Forecast Center,
Bettles,66.926,-151.509,Koyukuk River,river,2006,multiple,multiple,91,5/2/2006,1.85,-2398,Bettles-PABT,Alaska Pacific River Forecast Center,
Bettles,66.926,-151.509,Koyukuk River,river,2007,multiple,multiple,110,4/14/2007,1.90,-3343,Bettles-PABT,Alaska Pacific River Forecast Center,
Bettles,66.926,-151.509,Koyukuk River,river,2008,multiple,multiple,79,3/30/2008,1.46,-2967,Bettles-PABT,Alaska Pacific River Forecast Center,
Bettles,66.926,-151.509,Koyukuk River,river,2009,multiple,multiple,69,4/24/2009,1.14,-3822,Bettles-PABT,Alaska Pacific River Forecast Center,
Bettles,66.926,-151.509,Koyukuk River,river,2010,multiple,multiple,95,4/11/2010,1.63,-3391,Bettles-PABT,Alaska Pacific River Forecast Center,
Bettles,66.926,-151.509,Koyukuk River,river,2011,multiple,multiple,110,4/26/2011,1.84,-3591,Bettles-PABT,Alaska Pacific River Forecast Center,
Bettles,66.926,-151.509,Koyukuk River,river,2012,multiple,multiple,131,4/8/2012,2.18,-3664,Bettles-PABT,Alaska Pacific River Forecast Center,
Bettles,66.926,-151.509,Koyukuk River,river,2013,multiple,multiple,182,5/7/2013,2.93,-3895,Bettles-PABT,Alaska Pacific River Forecast Center,
Bettles,66.926,-151.509,Koyukuk River,river,2014,multiple,multiple,80,4/12/2014,1.48,-2933,Bettles-PABT,Alaska Pacific River Forecast Center,
Bettles,66.926,-151.509,Koyukuk River,river,2015,multiple,multiple,104,4/8/2015,2.00,-2690,Bettles-PABT,Alaska Pacific River Forecast Center,
Bettles,66.926,-151.509,Koyukuk River,river,2016,multiple,multiple,70,4/8/2016,1.42,-2395,Bettles-PABT,Alaska Pacific River Forecast Center,
Bettles,66.926,-151.509,Koyukuk River,river,2017,multiple,multiple,110,4/23/2017,1.89,-3381,Bettles-PABT,Alaska Pacific River Forecast Center,
Bettles,66.926,-151.509,Koyukuk River,river,2018,multiple,multiple,110,4/24/2018,2.06,-2859,Bettles-PABT,Alaska Pacific River Forecast Center,
Bettles,66.926,-151.509,Koyukuk River,river,2019,multiple,multiple,79,4/11/2019,1.95,-1646,Bettles-PABT,Alaska Pacific River Forecast Center,
Eagle,64.789,-141.198,Yukon River,river,1999,81,3/16/1999,82,3/21/1999,1.51,-2927,Eagle-PAEG,Alaska Pacific River Forecast Center,
Eagle,64.789,-141.198,Yukon River,river,2000,multiple,multiple,110,4/18/2000,2.39,-2353,Eagle-PAEG,Alaska Pacific River Forecast Center,
Eagle,64.789,-141.198,Yukon River,river,2001,multiple,multiple,112,4/8/2001,2.56,-2335,Eagle-PAEG,Alaska Pacific River Forecast Center,
Eagle,64.789,-141.198,Yukon River,river,2002,102,3/27/2002,107,4/17/2002,2.16,-2846.0,Eagle-PAEG,Alaska Pacific River Forecast Center,
Eagle,64.789,-141.198,Yukon River,river,2003,multiple,multiple,103,4/12/2003,2.81,-1934,Eagle-PAEG,Alaska Pacific River Forecast Center,
Eagle,64.789,-141.198,Yukon River,river,2004,66,3/29/2004,67,4/5/2004,1.37,-2670,Eagle-PAEG,Alaska Pacific River Forecast Center,
Eagle,64.789,-141.198,Yukon River,river,2005,multiple,multiple,125,3/11/2005,2.62,-2302,Eagle-PAEG,Alaska Pacific River Forecast Center,
Eagle,64.789,-141.198,Yukon River,river,2006,91,3/30/2006,93,4/18/2006,2.17,-2795,Eagle-PAEG,Alaska Pacific River Forecast Center,
Eagle,64.789,-141.198,Yukon River,river,2007,122,4/2/2007,122,4/4/2007,2.38,-2935,Eagle-PAEG,Alaska Pacific River Forecast Center,
Eagle,64.789,-141.198,Yukon River,river,2008,multiple,multiple,120,3/30/2008,2.46,-2637,Eagle-PAEG,Alaska Pacific River Forecast Center,
Eagle,64.789,-141.198,Yukon River,river,2009,multiple,multiple,141,4/14/2009,2.71,-3344,Eagle-PAEG,Alaska Pacific River Forecast Center,
Eagle,64.789,-141.198,Yukon River,river,2010,multiple,multiple,128,3/27/2010,2.83,-2203,Eagle-PAEG,Alaska Pacific River Forecast Center,
Eagle,64.789,-141.198,Yukon River,river,2011,multiple,multiple,119,4/21/2011,2.23,-3141,Eagle-PAEG,Alaska Pacific River Forecast Center,
Eagle,64.789,-141.198,Yukon River,river,2012,130,3/31/2012,131,4/4/2012,2.49,-2740,Eagle-PAEG,Alaska Pacific River Forecast Center,
Eagle,64.789,-141.198,Yukon River,river,2013,multiple,multiple,137,5/2/2013,2.32,-3597,Eagle-PAEG,Alaska Pacific River Forecast Center,
Eagle,64.789,-141.198,Yukon River,river,2014,multiple,multiple,144,4/12/2014,2.76,-2758,Eagle-PAEG,Alaska Pacific River Forecast Center,
Eagle,64.789,-141.198,Yukon River,river,2015,multiple,multiple,157,3/25/2015,3.39,-2337,Eagle-PAEG,Alaska Pacific River Forecast Center,
Eagle,64.789,-141.198,Yukon River,river,2016,102,3/2/2016,108,3/24/2016,2.48,-1920,Eagle-PAEG,Alaska Pacific River Forecast Center,
Eagle,64.789,-141.198,Yukon River,river,2017,multiple,multiple,153,3/30/2017,2.90,-2909,Eagle-PAEG,Alaska Pacific River Forecast Center,
Eagle,64.789,-141.198,Yukon River,river,2018,multiple,multiple,112,4/10/2018,2.55,-2036,Eagle-PAEG,Alaska Pacific River Forecast Center,
Eagle,64.789,-141.198,Yukon River,river,2019,multiple,multiple,80,3/14/2019,2.01,-1766,Eagle-PAEG,Alaska Pacific River Forecast Center,
Fairbanks,64.865,-147.866,Smith Lake,lake,1965,86,3/8/1965,87,3/19/1965,1.52,-3386,Fairbanks-PAFA,Bilello 1980,
Fairbanks,64.865,-147.866,Smith Lake,lake,1966,multiple,multiple,86,4/16/1966,1.38,-3868,Fairbanks-PAFA,Bilello 1980,
Fairbanks,64.865,-147.866,Smith Lake,lake,1967,71,4/14/1967,73,3/31/1967,1.25,-3391,Fairbanks-PAFA,Bilello 1980,
Fairbanks,64.865,-147.866,Smith Lake,lake,1968,76,4/14/1968,76,4/15/1968,1.46,-2817,Fairbanks-PAFA,Bilello 1980,
Fairbanks,64.865,-147.866,Smith Lake,lake,1969,67,3/28/1969,67,4/6/1969,1.14,-3520,Fairbanks-PAFA,Bilello 1980,
